AirportId,Iata,Latitude,Longitude,Timezone
12018,GUP,35.51111111,-108.78944444,America/Denver
12021,GUS,40.64805556,-86.15222222,America/Indiana/Indianapolis
12024,GUY,36.68416667,-101.50694444,America/Chicago
12027,GVE,38.15611111,-78.16583333,America/New_York
12028,GVL,34.2725,-83.83027778,America/New_York
12029,GVQ,43.03166667,-78.16972222,America/New_York
12031,GVT,33.06777778,-96.06527778,America/Chicago
12032,GVW,38.85083333,-94.55833333,America/Chicago
12039,GWO,33.49333333,-90.08666667,America/Chicago
12040,GWR,46.21833333,-97.64333333,America/Chicago
12041,GWS,39.50611111,-107.30916667,America/Denver
12054,GYR,33.42333333,-112.37527778,America/Phoenix
12055,GYY,41.61805556,-87.41527778,America/Chicago
12058,HAB,34.12916667,-87.99444444,America/Chicago
12061,HAE,36.21666667,-112.66666667,America/Phoenix
12062,HAF,37.51333333,-122.50111111,America/Los_Angeles
12068,HAO,39.36388889,-84.52194444,America/New_York
12070,HAR,40.21722222,-76.85138889,America/New_York
12074,HAY,65.20277778,-161.15277778,America/Anchorage
12076,HBC,57.41666667,-135.03333333,America/Sitka
12078,HBG,31.265,-89.25277778,America/Chicago
12079,HBH,57.4,-133.46666667,America/Juneau
12083,HBV,27.34944444,-98.73694444,America/Chicago
12084,HBY,57.38194444,-134.39527778,America/Juneau
12085,HCA,32.30361111,-101.43388889,America/Chicago
12086,HCB,55.45,-131.28333333,America/Sitka
12087,HCR,62.18833333,-159.775,America/Anchorage
12088,HDA,57.21666667,-134.88333333,America/Sitka
12092,HDH,21.57944444,-158.19722222,Pacific/Honolulu
12094,HDN,40.48111111,-107.21777778,America/Denver
12098,HED,55.80138889,-160.89916667,America/Anchorage
12103,HES,45.82833333,-119.25916667,America/Los_Angeles
12106,HEZ,31.61361111,-91.29722222,America/Chicago
12108,HFD,41.73666667,-72.64944444,America/New_York
12110,HFF,35.03666667,-79.4975,America/New_York
12119,HGR,39.70861111,-77.72638889,America/New_York
12122,HGZ,66.19166667,-155.66888889,America/Anchorage
12124,HHH,32.22444444,-80.6975,America/New_York
12127,HHR,33.92277778,-118.335,America/Los_Angeles
12128,KS3,39.87916667,-95.52527778,America/Chicago
12129,HIB,47.38666667,-92.83888889,America/Chicago
12130,HIE,44.3675,-71.54583333,America/New_York
12131,HIF,41.12388889,-111.97305556,America/Denver
12132,HII,34.57111111,-114.35833333,America/Phoenix
12134,HIK,21.31777778,-157.92027778,Pacific/Honolulu
12136,HIO,45.54222222,-122.95055556,America/Los_Angeles
12140,HKA,35.94055556,-89.83083333,America/Chicago
12141,HKB,63.8675,-148.96888889,America/Anchorage
12146,HKP,20.94583333,-156.69305556,Pacific/Honolulu
12147,HKS,32.33472222,-90.2225,America/Chicago
12149,HKY,35.74,-81.38833333,America/New_York
12153,HLG,40.17666667,-80.64611111,America/New_York
12154,HLI,36.89333333,-121.41027778,America/Los_Angeles
12155,HLM,42.79583333,-86.16194444,America/Detroit
12156,HLN,46.60666667,-111.98333333,America/Denver
12157,HLO,34.93861111,-110.14027778,America/Phoenix
12163,HMN,32.86,-106.105,America/Denver
12165,HMS,58.29444444,-135.34722222,America/Juneau
12166,HMT,33.73416667,-117.02222222,America/Los_Angeles
12168,HNC,35.23277778,-75.61777778,America/New_York
12171,HNH,58.09611111,-135.40888889,America/Juneau
12173,HNL,21.31777778,-157.92027778,Pacific/Honolulu
12174,HNM,20.79555556,-156.01444444,Pacific/Honolulu
12175,HNS,59.24388889,-135.52361111,America/Juneau
12177,HOB,32.68777778,-103.21777778,America/Denver
12183,HOL,62.91055556,-159.52777778,America/Anchorage
12184,HOM,59.64555556,-151.47666667,America/Anchorage
12185,HON,44.38527778,-98.22861111,America/Chicago
12187,HOP,36.67333333,-87.49194444,America/Chicago
12190,HOT,34.47805556,-93.09611111,America/Chicago
12191,HOU,29.64611111,-95.27722222,America/Chicago
12195,HPB,61.52388889,-166.14666667,America/Nome
12197,HPN,41.06694444,-73.7075,America/New_York
12198,HPT,42.72361111,-93.22638889,America/Chicago
